ADM2_EN,ADM2_AR,ADM2_PCODE,ADM2_REF,ADM2ALT1_EN,ADM2ALT2_EN,ADM2ALT1_AR,ADM2ALT2_AR,ADM1_EN,ADM1_AR,ADM1_PCODE,ADM0_EN,ADM0_AR,ADM0_PCODE,DATE,VALIDON,VALIDTO,AREA_SQKM
As Sunta,السنطة,SD03156,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3497.426758
As Sunut,السنوط,SD18092,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,6891.76123
Assalaya,عسلاية,SD05163,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,4825.941406
At Tadamon - BN,التضامن - ن ق,SD08108,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,7984.749023
At Tadamon - SK,التضامن - ج ك,SD07106,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3443.258057
At Tawisha,الطويشة,SD02119,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,10867.47656
At Tina,الطينة,SD02171,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,5624.436035
Atbara,عطبرة,SD16012,,,,,,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,8617.351563
Azum,أزوم,SD06110,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3207.259277
Babanusa,بابنوسة,SD18100,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,2357.284424
Bahr Al Arab,بحر العرب,SD05160,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,20467.69336
Bahri,بحري,SD01003,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3200.486084
Bara,بارا,SD13026,,,,,,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,11563.58203
Barbar,بربر,SD16013,,,,,,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,13448.91016
Basundah,باسندة,SD12077,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3734.070801
Baw,باو,SD08104,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,7246.918945
Beida,بيضا,SD04111,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,1824.077881
Beliel,بليل,SD03162,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,2383.612305
Bendasi,بندسي,SD06112,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,5421.369141
Buram,برام,SD03161,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3581.675537
Damso,دمسو,SD03172,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,1714.251343
Dar As Salam,دار السلام,SD02113,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,2969.452393
Delami,دلامي,SD07107,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,4094.327393
Delgo,دلقو,SD17015,,,,,,Northern,الشمالية,SD17,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,56619.92578
Dilling,الدلنج,SD07095,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3704.655762
Dongola,دنقلا,SD17017,,,,,,Northern,الشمالية,SD17,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,48382.17188
Dordieb,درديب,SD10063,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,12266.77344
Ed Al Fursan,عد الفرسان,SD03143,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,4434.612305
Ed Damazine,الدمازين,SD08105,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,1893.763428
Foro Baranga,فور برنقا,SD04121,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,779.9899292
