locality_name_en,locality_name_ar,locality_code,state_name_en,state_name_ar,state_code,country_name_en,country_name_ar,country_code,data_date,valid_from,area_sqkm,size_category,state_name_standardized,is_special_admin
Halfa Aj Jadeedah,حلفا الجديدة,SD11052,Kassala,كسلا,SD11,Sudan,السودان‎,SD,3/11/2020,8/31/2020,1524.938965,Medium,Kassala,FALSE
Haya,هيا,SD10070,Red Sea,البحر الأحمر,SD10,Sudan,السودان‎,SD,3/11/2020,8/31/2020,22405.70313,Very Large,Red Sea,FALSE
Heiban,هيبان,SD07096,South Kordofan,جنوب كردفان,SD07,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3402.48877,Medium,South Kordofan,FALSE
Janub Al Jazirah,جنوب الجزيرة,SD15031,Aj Jazirah,الجزيرة,SD15,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3251.489014,Medium,Aj Jazirah,FALSE
Jebel Awlia,جبل أولياء,SD01001,Khartoum,الخرطوم,SD01,Sudan,السودان‎,SD,3/11/2020,8/31/2020,779.6997681,Small,Khartoum,FALSE
Jebel Moon,جبل مون,SD04123,West Darfur,غرب دارفور,SD04,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3909.63501,Medium,West Darfur,FALSE
Jubayt Elma'aadin,جبيت المعادن,SD10067,Red Sea,البحر الأحمر,SD10,Sudan,السودان‎,SD,3/11/2020,8/31/2020,40407.48438,Very Large,Red Sea,FALSE
Kadugli,كادقلي,SD07098,South Kordofan,جنوب كردفان,SD07,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2165.609863,Medium,South Kordofan,FALSE
Karrari,كرري,SD01005,Khartoum,الخرطوم,SD01,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2916.066406,Medium,Khartoum,FALSE
Kas,كاس,SD03144,South Darfur,جنوب دارفور,SD03,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3494.660889,Medium,South Darfur,FALSE
Kateila,كتيلا,SD03159,South Darfur,جنوب دارفور,SD03,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2580.520996,Medium,South Darfur,FALSE
Kebkabiya,كبكابية,SD02124,North Darfur,شمال دارفور,SD02,Sudan,السودان‎,SD,3/11/2020,8/31/2020,4445.773926,Medium,North Darfur,FALSE
Keilak,كيلك,SD18085,West Kordofan,غرب كردفان,SD18,Sudan,السودان‎,SD,3/11/2020,8/31/2020,8829.272461,Large,West Kordofan,FALSE
Kelemando,كلمندو,SD02126,North Darfur,شمال دارفور,SD02,Sudan,السودان‎,SD,3/11/2020,8/31/2020,7224.791016,Large,North Darfur,FALSE
Kereneik,كرينك,SD04125,West Darfur,غرب دارفور,SD04,Sudan,السودان‎,SD,3/11/2020,8/31/2020,5797.459473,Large,West Darfur,FALSE
Kernoi,كرنوي,SD02168,North Darfur,شمال دارفور,SD02,Sudan,السودان‎,SD,3/11/2020,8/31/2020,8614.161133,Large,North Darfur,FALSE
Khartoum,الخرطوم,SD01007,Khartoum,الخرطوم,SD01,Sudan,السودان‎,SD,3/11/2020,8/31/2020,167.2157135,Small,Khartoum,FALSE
Kosti,كوستي,SD09047,White Nile,النيل الأبيض,SD09,Sudan,السودان‎,SD,3/11/2020,8/31/2020,1571.959839,Medium,White Nile,FALSE
Kubum,كبم,SD03157,South Darfur,جنوب دارفور,SD03,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3007.755371,Medium,South Darfur,FALSE
Kulbus,كلبس,SD04127,West Darfur,غرب دارفور,SD04,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2922.106689,Medium,West Darfur,FALSE
Kutum,كتم,SD02128,North Darfur,شمال دارفور,SD02,Sudan,السودان‎,SD,3/11/2020,8/31/2020,14000.59863,Large,North Darfur,FALSE
Madeinat Al Gedaref,مدينة القضارف,SD12080,Gedaref,القضارف,SD12,Sudan,السودان‎,SD,3/11/2020,8/31/2020,118.5922012,Small,Gedaref,FALSE
Madeinat Kassala,مدينة كسلا,SD11053,Kassala,كسلا,SD11,Sudan,السودان‎,SD,3/11/2020,8/31/2020,132.473999,Small,Kassala,FALSE
Medani Al Kubra,مدني الكبري,SD15030,Aj Jazirah,الجزيرة,SD15,Sudan,السودان‎,SD,3/11/2020,8/31/2020,587.145874,Small,Aj Jazirah,FALSE
Melit,مليط,SD02129,North Darfur,شمال دارفور,SD02,Sudan,السودان‎,SD,3/11/2020,8/31/2020,16116.45703,Large,North Darfur,FALSE
Mershing,مرشنج,SD03145,South Darfur,جنوب دارفور,SD03,Sudan,السودان‎,SD,3/11/2020,8/31/2020,1140.255127,Medium,South Darfur,FALSE
Merwoe,مروي,SD17020,Northern,الشمالية,SD17,Sudan,السودان‎,SD,3/11/2020,8/31/2020,17611.88281,Large,Northern,FALSE
Mukjar,مكجر,SD06130,Central Darfur,وسط دارفور,SD06,Sudan,السودان‎,SD,3/11/2020,8/31/2020,6238.664551,Large,Central Darfur,FALSE
Nitega,نتيقة,SD03151,South Darfur,جنوب دارفور,SD03,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2939.30249,Medium,South Darfur,FALSE
Nyala Janoub,نيالا جنوب,SD03167,South Darfur,جنوب دارفور,SD03,Sudan,السودان‎,SD,3/11/2020,8/31/2020,257.7190857,Small,South Darfur,FALSE
Nyala Shimal,نيالا شمال,SD03164,South Darfur,جنوب دارفور,SD03,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3146.498047,Medium,South Darfur,FALSE
Port Sudan,بورتسودان,SD10064,Red Sea,البحر الأحمر,SD10,Sudan,السودان‎,SD,3/11/2020,8/31/2020,564.0219116,Small,Red Sea,FALSE
Rabak,ربك,SD09046,White Nile,النيل الأبيض,SD09,Sudan,السودان‎,SD,3/11/2020,8/31/2020,1690.116943,Medium,White Nile,FALSE
Rehaid Albirdi,رهيد البردي,SD03158,South Darfur,جنوب دارفور,SD03,Sudan,السودان‎,SD,3/11/2020,8/31/2020,7475.959473,Large,South Darfur,FALSE
Reifi Aroma,ريفى أروما,SD11055,Kassala,كسلا,SD11,Sudan,السودان‎,SD,3/11/2020,8/31/2020,5950.579102,Large,Kassala,FALSE
Reifi Gharb Kassala,ريفى غرب كسلا,SD11054,Kassala,كسلا,SD11,Sudan,السودان‎,SD,3/11/2020,8/31/2020,1959.917358,Medium,Kassala,FALSE
Reifi Hamashkureib,ريفى همش كوريب,SD11058,Kassala,كسلا,SD11,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3901.339844,Medium,Kassala,FALSE
Reifi Kassla,ريفى كسلا,SD11056,Kassala,كسلا,SD11,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2818.325439,Medium,Kassala,FALSE
Reifi Khashm Elgirba,ريفى خشم القربة,SD11060,Kassala,كسلا,SD11,Sudan,السودان‎,SD,3/11/2020,8/31/2020,12081.30664,Large,Kassala,FALSE
Reifi Nahr Atbara,ريفى نهر عطبرة,SD11062,Kassala,كسلا,SD11,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2382.866211,Medium,Kassala,FALSE
Reifi Shamal Ad Delta,ريفى شمال الدلتا,SD11057,Kassala,كسلا,SD11,Sudan,السودان‎,SD,3/11/2020,8/31/2020,7442.759766,Large,Kassala,FALSE
Reifi Telkok,ريفى تلكوك,SD11059,Kassala,كسلا,SD11,Sudan,السودان‎,SD,3/11/2020,8/31/2020,5634.250977,Large,Kassala,FALSE
Reifi Wad Elhilaiw,ريفى ود الحليو,SD11061,Kassala,كسلا,SD11,Sudan,السودان‎,SD,3/11/2020,8/31/2020,4869.644531,Medium,Kassala,FALSE
Saraf Omra,سرف عمرة,SD02133,North Darfur,شمال دارفور,SD02,Sudan,السودان‎,SD,3/11/2020,8/31/2020,1482.725342,Medium,North Darfur,FALSE
Sawakin,سواكن,SD10068,Red Sea,البحر الأحمر,SD10,Sudan,السودان‎,SD,3/11/2020,8/31/2020,1968.308105,Medium,Red Sea,FALSE
Sennar,سنار,SD14038,Sennar,سنار,SD14,Sudan,السودان‎,SD,3/11/2020,8/31/2020,5532.481445,Large,Sennar,FALSE
Shamal Jabal Marrah,شمال  جبل مرة,SD06132,Central Darfur,وسط دارفور,SD06,Sudan,السودان‎,SD,3/11/2020,8/31/2020,1095.473877,Medium,Central Darfur,FALSE
Sharg Aj Jabal,شرق الجبل,SD03147,South Darfur,جنوب دارفور,SD03,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2899.848389,Medium,South Darfur,FALSE
Sharg Al Jazirah,شرق الجزيرة,SD15033,Aj Jazirah,الجزيرة,SD15,Sudan,السودان‎,SD,3/11/2020,8/31/2020,6519.232422,Large,Aj Jazirah,FALSE
Sharg An Neel,شرق النيل,SD01004,Khartoum,الخرطوم,SD01,Sudan,السودان‎,SD,3/11/2020,8/31/2020,9471.344727,Large,Khartoum,FALSE
Sharg Sennar,شرق سنار,SD14042,Sennar,سنار,SD14,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3156.27417,Medium,Sennar,FALSE
Shattaya,شطاية,SD03154,South Darfur,جنوب دارفور,SD03,Sudan,السودان‎,SD,3/11/2020,8/31/2020,1829.512573,Medium,South Darfur,FALSE
